ItemName	Type
Item_Human_Milk	食物
Item_Cake	食物
Item_Jerky	食物
Item_HomeFood	食物
Item_DeliciousFood	食物
Item_DelicacyFood	食物
Item_LingStone	货币
Item_Ginseng	丹药
Item_GanodermaLucidum	丹药
Item_MagicHerb	丹药
Item_Mint	丹药
Item_Ginkgo	丹药
Item_Healroot	丹药
Item_SmallCycle	丹药
Item_Hemostatics	丹药
Item_Plaster	丹药
Item_Anodyne	丹药
Item_StoneEssenceDrug	丹药
Item_Flour	食物
Item_Wheat	食物
Item_Mushroom	食物
Item_Lotusroot	食物
Item_Pear	食物
Item_BoarMeat	食物
Item_FrogMeat	食物
Item_TurtleMeat	食物
Item_BearMeat	食物
Item_Beef	食物
Item_RabbitMeat	食物
Item_ChickenMeat	食物
Item_WolfMeat	食物
Item_FishMeat	食物
Item_SnakeMeat	食物
Item_CatMeat	食物
Item_TigerMeat	食物
Item_BossFeng_HuoYu	材料
Item_BossFeng_GangYu	材料
Item_BossFeng_TouYu	材料
Item_BossFeng_WeiYu	材料
Item_BossFeng_Gu	材料
Item_BossFeng_HongYu	材料
Item_BossFeng_Meat	材料
Item_DragonScale	材料
Item_BossLong_Jiao	材料
Item_BossLong_Zhua	材料
Item_BossLong_Lin	材料
Item_BossLong_NiLin	材料
Item_BossLong_Jing	材料
Item_BossLong_Meat	材料
Item_BossZhuLong_BaiLin	材料
Item_BossZhuLong_HeiLin	材料
Item_BossZhuLong_Eye	材料
Item_BossZhuLong_TianLin	材料
Item_BossZhuLong_LongYu	材料
Item_BossZhuLong_Meat	材料
Item_BossFeng_FengYin	材料
Item_BossZhuLong_FengYin	材料
Item_IronBlock	材料
Item_CopperBlock	材料
Item_SilverBlock	材料
Item_BrownRockBlock	材料
Item_GrayRockBlock	材料
Item_MarbleBlock	材料
Item_LingStoneBlock	材料
Item_RoughWoodBlock	材料
Item_HardWoodBlock	材料
Item_LingWoodBlock	材料
Item_WoodLeftover	材料
Item_HardWoodLeftover	材料
Item_ParasolWoodLeftover	材料
Item_LingWoodLeftover	材料
Item_BrownRockLeftover	材料
Item_GrayRockLeftover	材料
Item_MarbleLeftover	材料
Item_JadeLeftover	材料
Item_Jade	材料
Item_SkyStoneLeftover	材料
